index,name,age,height,nationality,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
688,Stefan Lainer,30,1.75,Austria,3.5,18.0,Defender - Right-Back,18,right,Bor. M'gladbach,2024-06-30,2019-07-01,ROOF,,Bundesliga
689,Simon Walde,18,1.85,Germany,,,Defender - Right-Back,45,right,Bor. M'gladbach,2026-06-30,2023-01-04,Wasserman,adidas,Bundesliga
690,Julian Weigl,27,1.86,Germany,15.0,30.0,midfield - Defensive Midfield,8,right,Bor. M'gladbach,2023-06-30,2022-09-01,Sports360 GmbH,Puma,Bundesliga
691,Christoph Kramer,32,1.91,Germany,2.5,14.0,midfield - Defensive Midfield,6,right,Bor. M'gladbach,2025-06-30,2016-07-01,ROOF,adidas,Bundesliga
692,Manu Koné,21,1.85,France Cote d'Ivoire,30.0,30.0,midfield - Central Midfield,17,right,Bor. M'gladbach,2025-06-30,2021-01-21,Classico,adidas,Bundesliga
693,Florian Neuhaus,26,1.85,Germany,15.0,38.0,midfield - Central Midfield,32,right,Bor. M'gladbach,2024-06-30,2017-07-01,CN Sports,,Bundesliga
694,Oscar Fraulo,19,1.8,Denmark Italy,2.0,2.0,midfield - Central Midfield,22,right,Bor. M'gladbach,2026-06-30,2022-07-01,NINE Group,Nike,Bundesliga
695,Lars Stindl,34,1.81,Germany,2.5,18.0,midfield - Attacking Midfield,13,right,Bor. M'gladbach,2023-06-30,2015-07-01,Dirk Hebel,,Bundesliga
696,Conor Noß,22,1.81,Germany Ireland,0.7,0.7,midfield - Attacking Midfield,34,both,Bor. M'gladbach,2024-06-30,2021-07-01,B360 Sports,,Bundesliga
697,Alassane Plea,30,1.81,France Mali,10.0,38.0,Attack - Left Winger,14,right,Bor. M'gladbach,2025-06-30,2018-07-13,SMI SPORTS ...,,Bundesliga
698,Hannes Wolf,24,1.79,Austria,4.0,12.0,Attack - Left Winger,11,left,Bor. M'gladbach,2024-06-30,2021-07-01,HCM Sports ...,,Bundesliga
699,Yvandro Borges Sanches,18,1.75,Luxembourg Cape Verde,1.5,1.5,Attack - Left Winger,38,right,Bor. M'gladbach,2025-06-30,2022-07-01,Wasserman,Puma,Bundesliga
700,Jonas Hofmann,30,1.76,Germany,13.0,16.0,Attack - Right Winger,23,right,Bor. M'gladbach,2025-06-30,2016-01-01,Dr. Marco Gutfleisch,,Bundesliga
701,Nathan Ngoumou,23,1.83,France Cameroon,5.0,7.0,Attack - Right Winger,19,right,Bor. M'gladbach,2027-06-30,2022-08-30,NexSt11,Puma,Bundesliga
702,Patrick Herrmann,32,1.79,Germany,2.0,12.0,Attack - Right Winger,7,right,Bor. M'gladbach,2024-06-30,2010-01-01,PRO Profil GmbH,Puma,Bundesliga
703,Marcus Thuram,25,1.92,France Guadeloupe,32.0,40.0,Attack - Centre-Forward,10,right,Bor. M'gladbach,2023-06-30,2019-07-22,Sport Cover,Nike,Bundesliga
704,Koen Casteels,30,1.97,Belgium,8.0,14.0,Goalkeeper,1,left,VfL Wolfsburg,2024-06-30,2015-01-21,Relatives,Nike,Bundesliga
705,Pavao Pervan,35,1.94,Austria,0.4,0.8,Goalkeeper,12,both,VfL Wolfsburg,2024-06-30,2018-07-01,ROOF,,Bundesliga
706,Philipp Schulze,20,1.9,Germany,0.2,0.2,Goalkeeper,35,,VfL Wolfsburg,2026-06-30,2021-07-01,PRO Profil GmbH,adidas,Bundesliga
707,Niklas Klinger,27,1.87,Germany,0.1,0.1,Goalkeeper,30,right,VfL Wolfsburg,2025-06-30,2019-07-01,TPWE GmbH,,Bundesliga
708,Maxence Lacroix,23,1.9,France Guadeloupe,20.0,28.0,Defender - Centre-Back,4,right,VfL Wolfsburg,2025-06-30,2020-08-25,Hexagon,,Bundesliga
709,Micky van de Ven,22,1.93,Netherlands,18.0,18.0,Defender - Centre-Back,5,left,VfL Wolfsburg,2027-06-30,2021-08-31,Team Raiola,,Bundesliga
710,Sebastiaan Bornauw,24,1.91,Belgium,8.5,14.0,Defender - Centre-Back,3,right,VfL Wolfsburg,2026-06-30,2021-07-16,CAA Stellar,adidas,Bundesliga
711,Paulo Otávio,28,1.73,Brazil,6.5,8.0,Defender - Left-Back,6,left,VfL Wolfsburg,2023-06-30,2019-07-01,TFM Agency,,Bundesliga
712,Nicolas Cozza,24,1.78,France Italy,5.0,5.0,Defender - Left-Back,8,left,VfL Wolfsburg,2027-06-30,2023-01-25,,,Bundesliga
713,Ridle Baku,25,1.76,Germany DR Congo,13.0,25.0,Defender - Right-Back,20,right,VfL Wolfsburg,2025-06-30,2020-10-01,AKA Global GmbH,adidas,Bundesliga
714,Kilian Fischer,22,1.82,Germany,2.0,2.0,Defender - Right-Back,2,both,VfL Wolfsburg,2027-06-30,2022-07-01,Robert Schneider,,Bundesliga
715,Bartol Franjic,23,1.88,Croatia,4.0,6.5,midfield - Defensive Midfield,38,left,VfL Wolfsburg,2027-06-30,2022-07-01,Kostila,,Bundesliga
716,Josuha Guilavogui,32,1.88,France Guinea,3.0,14.0,midfield - Defensive Midfield,29,right,VfL Wolfsburg,2023-06-30,2016-07-01,Relatives,,Bundesliga
717,Maximilian Arnold,28,1.84,Germany,17.0,19.0,midfield - Central Midfield,27,left,VfL Wolfsburg,2026-06-30,2012-01-01,Karl M. Herzog ...,,Bundesliga
718,Mattias Svanberg,24,1.85,Sweden,15.0,15.0,midfield - Central Midfield,32,right,VfL Wolfsburg,2027-06-30,2022-07-16,MD Management,,Bundesliga
719,Yannick Gerhardt,29,1.84,Germany,7.0,12.0,midfield - Central Midfield,31,left,VfL Wolfsburg,2025-06-30,2016-07-01,Stephan Engels,,Bundesliga
720,Kevin Paredes,20,1.7,U.S.A. Dominican Republic,5.0,5.0,midfield - Left Midfield,40,left,VfL Wolfsburg,2026-06-30,2022-01-28,,,Bundesliga
721,Felix Nmecha,22,1.9,Germany England,8.0,8.0,midfield - Attacking Midfield,22,right,VfL Wolfsburg,2024-06-30,2021-07-21,,,Bundesliga
722,Jakub Kaminski,20,1.79,Poland,10.0,10.0,Attack - Left Winger,16,right,VfL Wolfsburg,2027-06-30,2022-07-01,BMG-SPORT,adidas,Bundesliga
723,Patrick Wimmer,21,1.82,Austria,12.0,12.0,Attack - Right Winger,39,,VfL Wolfsburg,2027-06-30,2022-07-01,More than Sport GmbH,Puma,Bundesliga
724,Luca Waldschmidt,26,1.81,Germany,3.0,20.0,Attack - Second Striker,7,left,VfL Wolfsburg,2025-06-30,2021-08-22,Sports360 GmbH,,Bundesliga
725,Lukas Nmecha,24,1.85,Germany England,14.0,18.0,Attack - Centre-Forward,10,right,VfL Wolfsburg,2025-06-30,2021-07-16,,,Bundesliga
726,Jonas Wind,24,1.9,Denmark,14.0,14.0,Attack - Centre-Forward,23,right,VfL Wolfsburg,2026-06-30,2022-01-31,People In Sport,,Bundesliga
727,Omar Marmoush,24,1.83,Egypt Canada,6.0,6.0,Attack - Centre-Forward,33,right,VfL Wolfsburg,2023-06-30,2020-07-01,CAA Stellar,,Bundesliga
728,Dzenan Pejcinovic,18,1.88,Germany Montenegro,1.0,1.0,Attack - Centre-Forward,18,left,VfL Wolfsburg,2027-06-30,2022-07-14,Karl M. Herzog ...,,Bundesliga
729,Mark Flekken,29,1.95,Netherlands,7.0,7.0,Goalkeeper,26,both,SC Freiburg,,2018-07-01,SEG,,Bundesliga
730,Noah Atubolu,20,1.9,Germany Nigeria,2.0,2.0,Goalkeeper,21,right,SC Freiburg,,2021-07-01,Unique Sports Group,,Bundesliga
731,Benjamin Uphoff,29,1.92,Germany,0.5,0.6,Goalkeeper,1,right,SC Freiburg,,2020-08-05,Karl M. Herzog ...,,Bundesliga
732,Philipp Lienhart,26,1.89,Austria,20.0,20.0,Defender - Centre-Back,3,right,SC Freiburg,2024-06-30,2018-07-01,YOU FIRST,Nike,Bundesliga
733,Matthias Ginter,29,1.91,Germany,20.0,35.0,Defender - Centre-Back,28,right,SC Freiburg,2027-06-30,2022-07-01,Unique Sports Group,,Bundesliga
734,Manuel Gulde,32,1.84,Germany,1.7,4.0,Defender - Centre-Back,5,right,SC Freiburg,,2016-07-01,Unique Sports Group,,Bundesliga
735,Kenneth Schmidt,20,1.87,Germany,0.75,0.75,Defender - Centre-Back,35,left,SC Freiburg,,2023-01-01,Unique Sports Group,,Bundesliga
736,Christian Günter,30,1.84,Germany,10.0,12.0,Defender - Left-Back,30,left,SC Freiburg,,2012-07-01,Unique Sports Group,,Bundesliga
737,Kimberly Ezekwem,21,1.87,Germany Nigeria,0.35,0.35,Defender - Left-Back,24,left,SC Freiburg,,2021-07-01,CN Sports,,Bundesliga
738,Kiliann Sildillia,20,1.86,France Guadeloupe,12.0,12.0,Defender - Right-Back,25,right,SC Freiburg,2026-06-30,2021-07-01,ROGON,,Bundesliga
739,Lukas Kübler,30,1.82,Germany,3.0,3.0,Defender - Right-Back,17,right,SC Freiburg,,2015-07-01,ROOF,,Bundesliga
740,Jonathan Schmid,32,1.79,France,1.2,5.0,Defender - Right-Back,7,right,SC Freiburg,,2019-07-01,Unique Sports Group,,Bundesliga
741,Yannik Keitel,23,1.86,Germany,4.0,4.0,midfield - Defensive Midfield,14,both,SC Freiburg,2024-06-30,2020-04-16,Unique Sports Group,,Bundesliga
742,Nicolas Höfler,33,1.81,Germany,2.5,4.5,midfield - Defensive Midfield,27,right,SC Freiburg,,2010-07-01,,,Bundesliga
743,Maximilian Eggestein,26,1.81,Germany,8.0,30.0,midfield - Central Midfield,8,right,SC Freiburg,2025-06-30,2021-08-18,ROOF,,Bundesliga
744,Merlin Röhl,20,1.92,Germany,2.0,2.0,midfield - Central Midfield,34,both,SC Freiburg,,2022-08-17,sportlobby,,Bundesliga
745,Robert Wagner,19,1.81,Germany,0.9,0.9,midfield - Central Midfield,23,right,SC Freiburg,2024-06-30,2022-07-01,VIDA 11,,Bundesliga
746,Daniel-Kofi Kyereh,27,1.79,Ghana Germany,8.0,8.0,midfield - Attacking Midfield,11,right,SC Freiburg,,2022-07-01,Alfaria sports GmbH,,Bundesliga
747,Vincenzo Grifo,30,1.8,Italy,12.0,12.0,Attack - Left Winger,32,right,SC Freiburg,,2019-09-02,ROOF,,Bundesliga
748,Noah Weißhaupt,21,1.81,Germany,2.5,2.5,Attack - Left Winger,33,right,SC Freiburg,,2021-07-01,Unique Sports Group,Puma,Bundesliga
749,Ritsu Doan,24,1.72,Japan,15.0,15.0,Attack - Right Winger,42,left,SC Freiburg,,2022-07-05,CAA Stellar,Puma,Bundesliga
750,Roland Sallai,25,1.83,Hungary,10.0,16.0,Attack - Right Winger,22,both,SC Freiburg,2025-06-30,2018-08-31,World Soccer Agency,Nike,Bundesliga
751,Woo-yeong Jeong,23,1.79,"Korea, South",4.0,5.5,Attack - Second Striker,29,right,SC Freiburg,2025-06-30,2019-07-01,Apertura Sports GmbH,,Bundesliga
752,Michael Gregoritsch,29,1.93,Austria,8.0,20.0,Attack - Centre-Forward,38,left,SC Freiburg,,2022-07-08,ROGON,adidas,Bundesliga
753,Lucas Höler,28,1.84,Germany,5.0,6.5,Attack - Centre-Forward,9,right,SC Freiburg,,2018-01-01,Unique Sports Group,,Bundesliga
754,Nils Petersen,34,1.88,Germany,1.5,12.0,Attack - Centre-Forward,18,right,SC Freiburg,2023-06-30,2015-07-01,Relatives,adidas,Bundesliga
755,Oliver Baumann,32,1.87,Germany,4.5,10.0,Goalkeeper,1,right,TSG Hoffenheim,2024-06-30,2014-07-01,CN Sports,adidas,Bundesliga
756,Philipp Pentke,38,1.91,Germany,0.3,0.4,Goalkeeper,12,right,TSG Hoffenheim,2023-06-30,2019-07-01,Bigpoint,HashtagOne,Bundesliga
757,Luca Philipp,22,1.92,Germany,0.3,0.3,Goalkeeper,37,,TSG Hoffenheim,2024-06-30,2020-07-31,Relatives,,Bundesliga
758,Nahuel Noll,20,1.88,Germany Spain,0.25,0.25,Goalkeeper,36,both,TSG Hoffenheim,2025-06-30,2021-07-01,VIDA 11,,Bundesliga
759,Ozan Kabak,23,1.87,Turkey,10.0,32.0,Defender - Centre-Back,5,right,TSG Hoffenheim,2026-06-30,2022-07-23,F-F SPORT,Nike,Bundesliga
760,Stanley Nsoki,24,1.84,France DR Congo,8.5,12.0,Defender - Centre-Back,34,left,TSG Hoffenheim,2027-06-30,2022-08-03,ROGON,,Bundesliga
761,Kevin Akpoguma,28,1.92,Nigeria Germany,4.0,12.0,Defender - Centre-Back,25,right,TSG Hoffenheim,2024-06-30,2013-07-01,Unique Sports Group,adidas,Bundesliga
762,Kevin Vogt,31,1.94,Germany,3.5,17.0,Defender - Centre-Back,22,right,TSG Hoffenheim,2025-06-30,2016-07-01,ROOF,,Bundesliga
763,John Anthony Brooks,30,1.94,U.S.A. Germany,3.0,15.0,Defender - Centre-Back,23,left,TSG Hoffenheim,2024-06-30,2023-01-26,ROGON,,Bundesliga
764,Eduardo Quaresma,21,1.85,Portugal,3.0,7.0,Defender - Centre-Back,26,right,TSG Hoffenheim,2023-06-30,2022-08-04,Proeleven S.A.,adidas,Bundesliga
765,Ermin Bicakcic,33,1.85,Bosnia-Herzegovina Germany,1.0,4.0,Defender - Centre-Back,4,right,TSG Hoffenheim,2023-06-30,2014-07-01,Sport Business ...,adidas,Bundesliga
766,Angeliño,26,1.71,Spain,14.0,35.0,Defender - Left-Back,11,left,TSG Hoffenheim,2023-06-30,2022-08-08,VIDA 11,Nike,Bundesliga
767,Pavel Kaderabek,31,1.82,Czech Republic,4.0,20.0,Defender - Right-Back,3,right,TSG Hoffenheim,2025-06-30,2015-07-01,no agent,,Bundesliga
768,Justin Che,19,1.85,U.S.A. Germany,2.0,3.0,Defender - Right-Back,24,right,TSG Hoffenheim,2023-06-30,2023-01-18,CAA Stellar,Nike,Bundesliga
769,Angelo Stiller,22,1.83,Germany,6.0,7.0,midfield - Defensive Midfield,13,left,TSG Hoffenheim,2025-06-30,2021-07-01,Gol International,,Bundesliga
770,Sebastian Rudy,33,1.8,Germany,1.5,15.0,midfield - Defensive Midfield,16,right,TSG Hoffenheim,2023-06-30,2021-07-01,Relatives,Nike,Bundesliga
771,Dennis Geiger,24,1.73,Germany,9.0,13.0,midfield - Central Midfield,8,right,TSG Hoffenheim,2027-06-30,2016-07-01,WINStar Management,,Bundesliga
772,Grischa Prömel,28,1.84,Germany,7.5,7.5,midfield - Central Midfield,6,right,TSG Hoffenheim,2026-06-30,2022-07-01,Unique Sports Group,,Bundesliga
773,Thomas Delaney,31,1.82,Denmark U.S.A.,3.0,27.0,midfield - Central Midfield,17,left,TSG Hoffenheim,2023-06-30,2023-01-30,Elite Sports ...,,Bundesliga
774,Finn Ole Becker,22,1.77,Germany,1.0,2.5,midfield - Central Midfield,20,left,TSG Hoffenheim,2026-06-30,2022-07-01,Sports360 GmbH,,Bundesliga
775,Umut Tohumcu,18,1.75,Germany Turkey,1.0,1.0,midfield - Central Midfield,40,both,TSG Hoffenheim,2026-06-30,2023-01-18,ROGON,adidas,Bundesliga
776,Robert Skov,26,1.85,Denmark,9.0,14.0,midfield - Right Midfield,29,left,TSG Hoffenheim,2024-06-30,2019-07-29,Elite Sports ...,,Bundesliga
777,Christoph Baumgartner,23,1.8,Austria,20.0,22.0,midfield - Attacking Midfield,14,right,TSG Hoffenheim,2025-06-30,2019-01-15,YOU FIRST,,Bundesliga
778,Tom Bischof,17,1.76,Germany,3.5,3.5,midfield - Attacking Midfield,39,left,TSG Hoffenheim,2025-06-30,2021-07-01,Agent is known - Player under 18,,Bundesliga
779,Muhammed Damar,19,1.85,Germany Turkey,1.0,1.0,midfield - Attacking Midfield,35,both,TSG Hoffenheim,2026-06-30,2022-07-01,EMG Mundial,,Bundesliga
780,Jacob Bruun Larsen,24,1.83,Denmark,4.0,20.0,Attack - Left Winger,7,right,TSG Hoffenheim,2024-06-30,2020-01-31,Boutique Transfers,Nike,Bundesliga
781,Kasper Dolberg,25,1.87,Denmark,9.0,23.0,Attack - Centre-Forward,19,right,TSG Hoffenheim,2023-06-30,2023-01-02,Rafaela Pimenta,adidas,Bundesliga
782,Andrej Kramaric,31,1.77,Croatia,9.0,38.0,Attack - Centre-Forward,27,right,TSG Hoffenheim,2025-06-30,2016-07-01,,adidas,Bundesliga
783,Ihlas Bebou,29,1.83,Togo Germany,7.0,16.0,Attack - Centre-Forward,9,right,TSG Hoffenheim,2026-06-30,2019-07-01,Wasserman,,Bundesliga
784,Munas Dabbur,31,1.82,Israel,4.0,15.0,Attack - Centre-Forward,10,right,TSG Hoffenheim,2024-06-30,2020-01-07,Soccer Mondial AG,Nike,Bundesliga
785,Fisnik Asllani,20,1.88,Germany Kosovo,0.8,0.8,Attack - Centre-Forward,44,both,TSG Hoffenheim,2026-06-30,2022-01-04,ROGON,,Bundesliga
786,Frederik Rönnow,30,1.88,Denmark,3.5,3.5,Goalkeeper,1,right,Union Berlin,2024-06-30,2021-07-20,Boutique Transfers,adidas,Bundesliga
787,Lennart Grill,24,1.92,Germany,1.0,1.5,Goalkeeper,37,right,Union Berlin,2023-06-30,2022-07-01,Soccertalk GmbH,,Bundesliga
788,Jakob Busk,29,1.89,Denmark,0.25,0.8,Goalkeeper,12,right,Union Berlin,2024-06-30,2016-01-15,Relatives,,Bundesliga
789,Diogo Leite,24,1.9,Portugal,12.0,12.0,Defender - Centre-Back,4,left,Union Berlin,2023-06-30,2022-07-16,,,Bundesliga
790,Danilho Doekhi,24,1.9,Netherlands Suriname,12.0,12.0,Defender - Centre-Back,5,right,Union Berlin,2025-06-30,2022-07-01,Wasserman,,Bundesliga
791,Paul Jaeckel,24,1.86,Germany,5.5,7.5,Defender - Centre-Back,3,right,Union Berlin,,2021-07-01,Karl M. Herzog ...,adidas,Bundesliga
792,Robin Knoche,30,1.89,Germany,5.0,12.0,Defender - Centre-Back,31,right,Union Berlin,2024-06-30,2020-08-04,Sports360 GmbH,,Bundesliga
793,Timo Baumgartl,27,1.9,Germany,3.5,15.0,Defender - Centre-Back,25,right,Union Berlin,2023-06-30,2021-07-01,CN Sports,adidas,Bundesliga
794,Jérôme Roussillon,30,1.72,Guadeloupe France,3.0,20.0,Defender - Left-Back,26,left,Union Berlin,,2023-01-12,Only Pro Sport,Nike,Bundesliga
795,Niko Gießelmann,31,1.82,Germany,2.0,4.0,Defender - Left-Back,23,left,Union Berlin,2023-06-30,2020-07-15,SMG GmbH,,Bundesliga
796,Josip Juranovic,27,1.73,Croatia,9.0,9.0,Defender - Right-Back,18,right,Union Berlin,2027-06-30,2023-01-22,FSB – ...,,Bundesliga
797,Christopher Trimmel,36,1.89,Austria,0.8,1.2,Defender - Right-Back,28,right,Union Berlin,2024-06-30,2014-07-01,ROOF,adidas,Bundesliga
798,Rani Khedira,29,1.89,Germany Tunisia,8.0,10.0,midfield - Defensive Midfield,8,right,Union Berlin,,2021-07-01,NGM SPORTS,,Bundesliga
799,Morten Thorsby,27,1.88,Norway,7.0,7.0,midfield - Central Midfield,2,right,Union Berlin,2025-06-30,2022-07-19,Pando,adidas,Bundesliga
800,Janik Haberer,29,1.86,Germany,7.0,10.0,midfield - Central Midfield,19,right,Union Berlin,2025-06-30,2022-07-01,Unique Sports Group,Puma,Bundesliga
801,András Schäfer,24,1.78,Hungary,5.0,5.0,midfield - Central Midfield,13,both,Union Berlin,,2022-01-21,EM Sports Consulting,,Bundesliga
802,Aïssa Laïdouni,26,1.81,Tunisia France,4.0,4.0,midfield - Central Midfield,20,right,Union Berlin,,2023-01-27,World in Motion,,Bundesliga
803,Paul Seguin,28,1.85,Germany,3.0,3.0,midfield - Central Midfield,14,right,Union Berlin,,2022-07-01,think forward,Nike,Bundesliga
804,Levin Öztunali,27,1.84,Germany,1.5,6.5,midfield - Central Midfield,7,right,Union Berlin,,2021-07-01,CAA Stellar,Nike,Bundesliga
805,Kevin Möhwald,29,1.82,Germany,0.7,4.0,midfield - Central Midfield,30,right,Union Berlin,,2021-08-30,Karl M. Herzog ...,,Bundesliga
806,Milos Pantovic,26,1.86,Serbia Germany,1.8,2.2,midfield - Attacking Midfield,32,right,Union Berlin,,2022-07-01,ROOF,Puma,Bundesliga
807,Tim Maciejewski,22,1.86,Germany,0.35,0.35,Attack - Right Winger,16,right,Union Berlin,2023-06-30,2020-07-01,think forward,,Bundesliga
808,Sheraldo Becker,28,1.8,Suriname Netherlands,15.0,15.0,Attack - Second Striker,27,right,Union Berlin,2024-06-30,2019-07-01,Sports360 GmbH,,Bundesliga
809,Jamie Leweling,22,1.84,Germany Ghana,3.5,4.5,Attack - Second Striker,40,both,Union Berlin,2026-06-30,2022-07-01,Sports eXcellence ...,Puma,Bundesliga
810,Jordan,27,1.91,U.S.A. France,9.0,10.0,Attack - Centre-Forward,45,right,Union Berlin,2026-06-30,2022-07-01,,,Bundesliga
811,Kevin Behrens,32,1.85,Germany,1.5,1.5,Attack - Centre-Forward,17,both,Union Berlin,2024-06-30,2021-07-01,B O K S,,Bundesliga
812,Sven Michel,32,1.77,Germany,1.2,1.25,Attack - Centre-Forward,11,left,Union Berlin,2024-06-30,2022-01-31,Karl M. Herzog ...,,Bundesliga
813,Rafal Gikiewicz,35,1.9,Poland,1.2,1.5,Goalkeeper,1,right,FC Augsburg,2023-06-30,2020-07-01,Wasserman,adidas,Bundesliga
814,Tomas Koubek,30,1.97,Czech Republic,1.0,7.0,Goalkeeper,40,right,FC Augsburg,2024-06-30,2019-08-06,SPORT INVEST,,Bundesliga
815,Daniel Klein,22,1.93,Germany,0.3,0.3,Goalkeeper,25,right,FC Augsburg,2025-06-30,2021-07-02,Sport Business ...,,Bundesliga
816,Benjamin Leneis,24,1.95,Germany,0.15,0.3,Goalkeeper,39,both,FC Augsburg,2023-06-30,2018-10-24,,,Bundesliga
817,Felix Uduokhai,25,1.92,Germany Nigeria,10.0,16.0,Defender - Centre-Back,19,left,FC Augsburg,2024-06-30,2020-07-01,CN Sports,Nike,Bundesliga
818,Reece Oxford,24,1.9,England Jamaica,9.0,12.0,Defender - Centre-Back,4,right,FC Augsburg,2025-06-30,2019-08-02,CAA Base Ltd,,Bundesliga
819,Jeffrey Gouweleeuw,31,1.87,Netherlands,3.5,12.0,Defender - Centre-Back,6,right,FC Augsburg,2024-06-30,2016-01-09,SEG,Under Armour,Bundesliga
820,Maximilian Bauer,23,1.89,Germany,3.5,3.5,Defender - Centre-Back,23,right,FC Augsburg,2027-06-30,2022-07-01,Robert Schneider,,Bundesliga
821,Iago,26,1.81,Brazil,5.5,6.5,Defender - Left-Back,22,left,FC Augsburg,2024-06-30,2019-07-01,C.R,,Bundesliga
822,Mads Pedersen,26,1.74,Denmark,2.5,2.5,Defender - Left-Back,3,left,FC Augsburg,2024-06-30,2019-07-01,Nordic Sky,Nike,Bundesliga
823,David Colina,22,1.74,Croatia,1.5,1.5,Defender - Left-Back,38,left,FC Augsburg,2027-06-30,2023-01-14,P&P Sport ...,Nike,Bundesliga
824,Aaron Zehnter,18,1.8,Germany,0.3,0.3,Defender - Left-Back,42,left,FC Augsburg,2024-06-30,2022-07-01,Karl M. Herzog ...,,Bundesliga
825,Robert Gumny,24,1.82,Poland,3.5,5.0,Defender - Right-Back,2,right,FC Augsburg,2025-06-30,2020-09-02,Fabryka Futbolu,Puma,Bundesliga
826,Niklas Dorsch,25,1.78,Germany,8.0,10.0,midfield - Defensive Midfield,30,right,FC Augsburg,2026-06-30,2021-07-08,CN Sports,,Bundesliga
827,Renato Veiga,19,1.9,Portugal,1.0,1.0,midfield - Defensive Midfield,8,left,FC Augsburg,2023-06-30,2023-01-31,Mondo Victory,,Bundesliga
828,Tobias Strobl,33,1.88,Germany,0.7,8.0,midfield - Defensive Midfield,5,right,FC Augsburg,2023-06-30,2020-07-01,CN Sports,,Bundesliga
829,Julian Baumgartlinger,35,1.84,Austria,0.6,6.0,midfield - Defensive Midfield,14,right,FC Augsburg,2023-06-30,2022-08-16,PRO Profil GmbH,,Bundesliga
830,Arne Maier,24,1.86,Germany,5.5,24.0,midfield - Central Midfield,10,right,FC Augsburg,2025-06-30,2022-07-01,11WINS,Puma,Bundesliga
831,Elvis Rexhbecaj,25,1.82,Germany Kosovo,3.5,8.0,midfield - Central Midfield,13,left,FC Augsburg,2026-06-30,2022-07-27,Soccertalk GmbH,,Bundesliga
832,Arne Engels,19,1.85,Belgium,3.5,3.5,midfield - Central Midfield,27,right,FC Augsburg,2027-06-30,2023-01-03,Wasserman,,Bundesliga
833,Fredrik Jensen,25,1.83,Finland,2.5,3.0,midfield - Attacking Midfield,24,right,FC Augsburg,2025-06-30,2018-07-01,V4S,,Bundesliga
834,Mert Kömür,17,1.83,Germany Turkey,,,midfield - Attacking Midfield,20,both,FC Augsburg U19,2027-06-30,2022-07-01,Agent is known - Player under 18,adidas,Other
835,Rubén Vargas,24,1.79,Switzerland Dominican Republic,6.0,13.0,Attack - Left Winger,16,right,FC Augsburg,2025-06-30,2019-07-01,IFM,,Bundesliga
836,Nathanaël Mbuku,21,1.7,France DR Congo,4.0,9.0,Attack - Left Winger,34,left,FC Augsburg,2027-06-30,2023-01-30,BS Group - BS Law,,Bundesliga
837,André Hahn,32,1.85,Germany,2.0,8.0,Attack - Right Winger,28,right,FC Augsburg,2023-06-30,2018-07-01,Sports360 GmbH,adidas,Bundesliga
838,Noah Joel Sarenren Bazee,26,1.83,Germany Nigeria,0.8,1.5,Attack - Right Winger,17,right,FC Augsburg,2024-06-30,2019-07-01,Rummenigge Sport ...,Puma,Bundesliga
839,Daniel Caligiuri,35,1.82,Italy Germany,0.6,7.5,Attack - Right Winger,20,right,FC Augsburg,2023-06-30,2020-07-01,Caligiuri Sports,,Bundesliga
840,Ermedin Demirovic,25,1.85,Bosnia-Herzegovina Germany,12.0,12.0,Attack - Centre-Forward,9,right,FC Augsburg,2026-06-30,2022-07-08,PRO Profil GmbH,Nike,Bundesliga
841,Mergim Berisha,25,1.88,Germany,12.0,12.0,Attack - Centre-Forward,11,right,FC Augsburg,2023-06-30,2022-08-31,ROGON,adidas,Bundesliga
842,Dion Beljo,21,1.95,Croatia,6.5,6.5,Attack - Centre-Forward,7,left,FC Augsburg,2027-06-30,2023-01-13,ROOF,,Bundesliga
843,Kelvin Yeboah,23,1.85,Italy Ghana,3.5,5.5,Attack - Centre-Forward,45,right,FC Augsburg,2023-06-30,2023-01-18,P&P Sport ...,,Bundesliga
844,Irvin Cardona,25,1.85,France Malta,2.5,8.0,Attack - Centre-Forward,48,right,FC Augsburg,2027-06-30,2023-01-18,Wasserman,,Bundesliga
845,Florian Müller,25,1.9,Germany,1.5,10.0,Goalkeeper,1,left,VfB Stuttgart,2025-06-30,2021-07-01,PRO Profil GmbH,,Bundesliga
846,Fabian Bredlow,28,1.9,Germany,1.5,1.5,Goalkeeper,33,both,VfB Stuttgart,2024-06-30,2019-07-01,SEG,,Bundesliga
847,Florian Schock,21,2.0,Germany,0.2,0.2,Goalkeeper,42,right,VfB Stuttgart,2024-06-30,2021-09-07,Relatives,,Bundesliga
848,Konstantinos Mavropanos,25,1.94,Greece,15.0,17.0,Defender - Centre-Back,5,right,VfB Stuttgart,2025-06-30,2022-07-01,Konstantinos Farras,,Bundesliga
849,Hiroki Ito,24,1.88,Japan,7.5,7.5,Defender - Centre-Back,21,left,VfB Stuttgart,2025-06-30,2022-07-01,Universal Sports ...,,Bundesliga
850,Waldemar Anton,26,1.89,Germany,4.5,15.0,Defender - Centre-Back,2,right,VfB Stuttgart,2025-06-30,2020-07-28,AKA Global GmbH,Puma,Bundesliga
851,Dan-Axel Zagadou,23,1.96,France Cote d'Ivoire,3.5,35.0,Defender - Centre-Back,23,left,VfB Stuttgart,2026-06-30,2022-09-19,,,Bundesliga
